join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
1728,TR099,A,-54.653702,158.875709,149.444183,2018-02-06T00:33:39Z,AP,P,0,U,S,JB,5
1448,TR081,A,-54.71363403,158.824231,271.349182,2018-01-21T23:40:53Z,AP,P,2.5,U,S,JB,8
1440,TR081,A,-54.71362196,158.824406,271.823151,2018-01-21T23:35:36Z,AP,P,10,D,S,JB,2
1387,TR077,A,-54.68478796,158.836298,218.662949,2018-01-21T05:55:35Z,AP,P,2.9,D,S,PP,3
1449,TR081,A,-54.71500397,158.820919,256.586273,2018-01-22T00:36:06Z,AP,P,0,D,S,JB,8
1449,TR081,A,-54.71498201,158.820965,256.603271,2018-01-22T00:35:53Z,AP,P,0.9,D,S,JB,8
1449,TR081,A,-54.71507002,158.820887,261.220337,2018-01-22T00:37:38Z,AP,P,6,U,S,JB,8
1449,TR081,A,-54.71501797,158.8209,255.538834,2018-01-22T00:36:38Z,AP,P,3,U,S,JB,8
1449,TR081,A,-54.71503104,158.820856,255.080826,2018-01-22T00:37:11Z,AP,P,0,U,S,JB,8
1449,TR081,A,-54.71473399,158.82156,257.377014,2018-01-22T00:01:22Z,AP,P,5,U,S,JB,8
1449,TR081,A,-54.71474597,158.821463,251.298233,2018-01-22T00:03:13Z,AP,P,4.4,D,S,JB,8
1449,TR081,A,-54.71474103,158.821475,247.908859,2018-01-22T00:02:31Z,AP,P,6,D,S,JB,8
1449,TR081,A,-54.71482996,158.821189,255.216583,2018-01-22T00:31:11Z,AP,P,5.5,D,S,JB,8
1449,TR081,A,-54.71468998,158.821592,256.207214,2018-01-21T23:58:16Z,AP,P,1.6,D,S,JB,8
1448,TR081,A,-54.71363998,158.824126,272.250519,2018-01-21T23:43:48Z,AP,P,1.1,U,S,JB,8
1448,TR081,A,-54.71367099,158.823871,270.912354,2018-01-21T23:44:32Z,AP,P,8,U,S,JB,8
1448,TR081,A,-54.71384802,158.823563,271.269531,2018-01-21T23:48:02Z,AP,P,6,D,S,JB,8
1467,TR082,A,-54.71458102,158.817854,236.792221,2018-01-22T01:21:47Z,AP,P,2.3,F,S,JB,8
1467,TR082,A,-54.71458403,158.817935,236.708878,2018-01-22T01:22:26Z,AP,P,3.4,F,S,JB,8
1467,TR082,A,-54.71456601,158.817986,235.612213,2018-01-22T01:22:58Z,AP,P,6.5,F,S,JB,8
1450,TR081,A,-54.71639897,158.817842,240.786957,2018-01-22T00:49:14Z,AP,P,1.5,D,S,JB,8
1463,TR082,A,-54.711386,158.818157,242.00058,2018-01-22T01:47:15Z,AP,P,11,F,S,JB,3
1461,TR082,A,-54.71201004,158.818381,235.613281,2018-01-22T01:40:23Z,AP,P,8,D,S,JB,2
1461,TR082,A,-54.712004,158.818368,235.13475,2018-01-22T01:41:33Z,AP,P,2.5,D,S,JB,2
1461,TR082,A,-54.71199101,158.818357,237.923996,2018-01-22T01:43:30Z,AP,P,0.9,D,S,JB,2
1468,TR082,A,-54.71279198,158.818098,221.840942,2018-01-22T01:34:41Z,AP,P,0.6,F,S,JB,8
1460,TR082,A,-54.712867,158.818057,220.4888,2018-01-22T01:32:36Z,AP,P,1,U,S,JB,2
1137,TR055,A,-54.65456198,158.846985,259.018524,2018-01-18T03:58:24Z,AP,P,1.2,D,0,JB,8
1124,TR055,A,-54.65537603,158.850245,214.259613,2018-01-18T04:07:21Z,AP,P,2.8,D,0,JB,2
1197,TR064,A,-54.69653503,158.835764,298.447235,2018-01-19T23:55:49Z,AP,P,1.3,U,S,PP,8
1303,TR071,A,-54.67107198,158.867428,123.995125,2018-01-21T01:32:47Z,AP,P,13,D,S,JB,8
1303,TR071,A,-54.67125697,158.866659,138.622681,2018-01-21T01:38:27Z,AP,P,1.3,U,S,JB,8
941,TR044,A,-54.63318201,158.84189,172.604263,2018-01-16T04:02:59Z,AP,P,0.4,U,0,JB,5
1040,TR050,A,-54.66977103,158.844085,290.811462,2018-01-18T00:02:51Z,AP,P,0.5,U,0,JB,8
1047,TR051,A,-54.66950499,158.844085,287.463287,2018-01-18T00:29:27Z,AP,P,2,D,0,JB,2
1047,TR051,A,-54.66948101,158.8441,288.806366,2018-01-18T00:30:47Z,AP,P,2.1,D,0,JB,2
374,TR045,A,-54.63449897,158.840652,208.039093,2018-01-16T04:35:36Z,AP,P,7,U,0,JB,5
374,TR045,A,-54.63451096,158.840597,206.413513,2018-01-16T04:35:44Z,AP,P,4.5,U,0,JB,5
1029,TR050,A,-54.67039003,158.842721,314.268646,2018-01-17T23:55:39Z,AP,P,17,U,0,JB,2
377,TR045,A,-54.63423897,158.841297,197.726807,2018-01-16T04:29:37Z,AP,P,1,U,0,JB,8
374,TR045,A,-54.63436897,158.840766,206.649734,2018-01-16T04:31:30Z,AP,P,1.8,U,0,JB,5
1072,TR052,A,-54.66141201,158.844069,257.785339,2018-01-18T01:57:43Z,AP,P,2,D,0,JB,5
480,TR008,A,-54.61043604,158.871376,257.034424,2018-01-06T03:13:33Z,AP,P,3,F,0,JB,2
480,TR008,A,-54.61049203,158.871294,249.941605,2018-01-06T03:18:00Z,AP,P,3.5,D,0,JB,2
460,TR006,A,-54.61538002,158.867205,263.762878,2018-01-06T00:31:24Z,AP,P,0.6,D,0,JB,2
499,TR010,A,-54.61262598,158.88203,164.491989,2018-01-06T05:31:43Z,AP,P,3,D,0,JB,5
601,TR017,A,-54.60102903,158.893149,149.093689,2018-01-08T01:14:26Z,AP,P,0.9,U,0,JB,8
