join_tr_se,transect,join_sec,lat,lon,ele,time,species,mark,distance,slope,veg_height,observer,join_ufcm
2345,TR128,A,-54.57959298,158.86465,193.939545,2018-02-11T03:21:30Z,WHP,B,11,D,S,JB,8
2345,TR128,A,-54.57947496,158.864538,193.390213,2018-02-11T03:22:10Z,WHP,B,1,D,S,JB,8
2342,TR128,A,-54.57941202,158.864514,195.52066,2018-02-11T03:23:35Z,WHP,B,2.4,U,S,JB,5
2342,TR128,A,-54.57940699,158.864517,193.465897,2018-02-11T03:23:51Z,WHP,B,2.2,U,S,JB,5
2345,TR128,A,-54.579438,158.864413,194.947784,2018-02-11T03:23:06Z,WHP,B,10,U,S,JB,8
2342,TR128,A,-54.57940799,158.864471,195.515732,2018-02-11T03:23:18Z,WHP,B,6,U,S,JB,5
2338,TR127,A,-54.58039303,158.86474,214.885239,2018-02-11T02:50:18Z,WHP,B,8,U,S,JB,8
2345,TR128,A,-54.57982499,158.864149,205.532135,2018-02-11T03:14:37Z,WHP,B,0.5,D,S,JB,8
2345,TR128,A,-54.57995801,158.863806,208.116348,2018-02-11T03:12:18Z,WHP,B,1.3,D,S,JB,8
2345,TR128,A,-54.57993404,158.863882,208.122787,2018-02-11T03:13:01Z,WHP,B,4,F,S,JB,8
1925,TR105,A,-54.61223404,158.844206,199.460861,2018-02-08T04:48:33Z,WHP,B,2.6,D,S,JB,8
1925,TR105,A,-54.61227503,158.844083,201.026093,2018-02-08T04:44:54Z,WHP,B,2.8,D,S,JB,8
1487,TR084,A,-54.68258897,158.862458,234.223267,2018-01-22T23:49:43Z,WHP,B,1,D,S,PP,2
65,TR083,A,-54.68313899,158.864033,184.233765,2018-01-22T22:57:04Z,WHP,B,3.4,U,S,PP,8
65,TR083,A,-54.68303698,158.863565,197.252502,2018-01-22T23:21:14Z,WHP,B,2.5,D,S,PP,8
65,TR083,A,-54.68304997,158.863561,197.719528,2018-01-22T23:21:51Z,WHP,B,2.5,D,S,PP,8
1650,TR093,A,-54.60196001,158.847948,250.822342,2018-02-03T07:04:03Z,WHP,B,1.1,U,S,JB,8
1666,TR093,B,-54.60155801,158.845872,142.703735,2018-02-03T06:41:45Z,WHP,B,0.6,U,T,JB,4
1649,TR093,A,-54.60182003,158.847603,227.644852,2018-02-03T06:52:25Z,WHP,B,2.5,U,S,JB,8
1659,TR093,A,-54.60190703,158.847779,246.627914,2018-02-03T06:54:17Z,WHP,B,0.5,U,S,JB,4
1650,TR093,A,-54.60196202,158.847952,250.698029,2018-02-03T07:03:58Z,WHP,B,1.8,U,S,JB,8
1650,TR093,A,-54.60197501,158.847912,250.329208,2018-02-03T07:01:56Z,WHP,B,0.4,U,S,JB,8
1329,TR072,A,-54.67250604,158.860644,233.97081,2018-01-21T02:48:59Z,WHP,B,0.7,U,S,PP,8
1329,TR072,A,-54.67250898,158.860635,234.584442,2018-01-21T02:49:36Z,WHP,B,1.5,U,S,PP,8
666,TR025,A,-54.56146603,158.883347,74.045914,2018-01-09T08:19:10Z,WHP,B,0,F,0,JB,3
666,TR025,A,-54.56145102,158.883338,74.045914,2018-01-09T08:19:28Z,WHP,B,1.6,U,0,JB,3
676,TR025,A,-54.56151397,158.884076,76.651917,2018-01-09T08:16:58Z,WHP,B,15,U,0,JB,8
705,TR027,A,-54.556616,158.884902,155.420792,2018-01-09T23:51:17Z,WHP,B,3,U,0,JB,3
729,TR029,A,-54.55651098,158.899387,235.945633,2018-01-10T00:51:10Z,WHP,B,0,D,0,JB,2
711,TR027,A,-54.55631099,158.883375,58.165379,2018-01-09T23:41:08Z,WHP,B,3.3,U,0,JB,1
711,TR027,A,-54.556342,158.883363,108.373466,2018-01-09T23:45:03Z,WHP,B,0.2,U,0,JB,1
731,TR030,A,-54.55656404,158.899795,226.991226,2018-01-10T00:56:42Z,WHP,B,7,U,0,JB,5
15,TR024,A,-54.56545397,158.891151,108.205475,2018-01-09T07:13:39Z,WHP,B,1.6,D,0,JB,8
376,TR045,A,-54.63401601,158.841817,190.822128,2018-01-16T04:18:10Z,WHP,B,4,D,0,JB,3
373,TR045,A,-54.634086,158.841786,194.17569,2018-01-16T04:20:51Z,WHP,B,0.6,U,0,JB,5
