join_tr_se,transect,join_sec,lat,lon,ele,time,distance,slope,veg_height,observer,join_ufcm
2617,TR150,A,-54.72821896,158.812722,257.026917,2018-03-02T04:54:54Z,2.5,D,S,PP,8
2631,TR150,A,-54.727852,158.812851,259.637024,2018-03-02T04:53:05Z,1.2,D,S,PP,4
2631,TR150,A,-54.72785099,158.812851,259.637024,2018-03-02T04:53:10Z,1,D,S,PP,4
2617,TR150,A,-54.72822499,158.812747,257.038605,2018-03-02T04:55:24Z,0.8,D,S,PP,8
2600,TR150,A,-54.72834997,158.812706,250.2444,2018-03-02T04:57:08Z,2.5,D,S,PP,2
2617,TR150,A,-54.72821997,158.812721,257.026917,2018-03-02T04:54:58Z,2.5,D,S,PP,8
2617,TR150,A,-54.72821896,158.81274,257.036652,2018-03-02T04:55:10Z,2,D,S,PP,8
2610,TR150,A,-54.729578,158.81122,252.276688,2018-03-02T05:00:54Z,0.1,F,S,PP,3
2610,TR150,A,-54.729564,158.811226,252.279251,2018-03-02T05:01:01Z,1.3,F,S,PP,3
2623,TR150,A,-54.729233,158.811541,246.374817,2018-03-02T04:59:25Z,1.1,D,S,PP,6
2623,TR150,A,-54.72923602,158.811547,246.374817,2018-03-02T04:59:29Z,1.3,D,S,PP,6
2618,TR150,A,-54.72999701,158.810867,256.956909,2018-03-02T05:02:49Z,0.2,F,S,PP,8
2618,TR150,A,-54.72999802,158.810866,256.956909,2018-03-02T05:02:57Z,1.2,F,S,PP,8
2610,TR150,A,-54.72957004,158.811268,253.545731,2018-03-02T05:01:23Z,1.2,F,S,PP,3
2618,TR150,A,-54.72990104,158.811097,255.714706,2018-03-02T05:02:12Z,0,F,S,PP,8
2615,TR150,A,-54.72712504,158.81296,263.714691,2018-03-02T04:48:13Z,1.5,U,S,PP,8
2615,TR150,A,-54.72712596,158.812961,263.714691,2018-03-02T04:48:34Z,2.5,U,S,PP,8
2615,TR150,A,-54.72712596,158.812961,263.714691,2018-03-02T04:48:43Z,3.6,U,S,PP,8
2615,TR150,A,-54.72712797,158.812959,263.714691,2018-03-02T04:48:45Z,3.6,U,S,PP,8
2615,TR150,A,-54.72712898,158.812961,263.714691,2018-03-02T04:48:36Z,2.5,U,S,PP,8
2615,TR150,A,-54.72712596,158.812969,263.714691,2018-03-02T04:48:41Z,3,U,S,PP,8
2615,TR150,A,-54.72722604,158.81296,262.854706,2018-03-02T04:51:23Z,1.5,D,S,PP,8
2615,TR150,A,-54.72722302,158.812958,262.205811,2018-03-02T04:51:25Z,1.4,D,S,PP,8
